NOME,PARTIDO,TOTAL VOTOS,GÊNERO,RAÇA
Marcinho Oliveira,União Brasil,104.969,M,Pardo
Pedro Tavares,União Brasil,80.490,M,Branco
Katia Oliveira,União Brasil,80.417,F,Pardo
Marcelinho Veiga,União Brasil,78.456,M,Branco
Alan Sanches,União Brasil,77.316,M,Pardo
Sandro Régis,União Brasil,76.361,M,Pardo
Luciano Simões,União Brasil,68.377,M,Pardo
Manuel Rocha,União Brasil,66.445,M,Pardo
Robinho,União Brasil,65.681,M,Pardo
Junior Nascimento,União Brasil,65.423,M,Pardo
Luciano Araujo,SD,28.412,M,Pardo
Pancadinha,SD,27.338,M,Preto
Samuel Junior,Republicanos,98.914,M,Preto
Jurailton Santos,Republicanos,80.601,M,Preto
Jose De Arimateia,Republicanos,77.995,M,Branco
Vitor Bonfim,PV,68.043,M,Pardo
Marquinho Viana,PV,66.940,M,Branco
Ludmilla Fiscina,PV,60.921,F,Pardo
Roberto Carlos,PV,57.798,M,Pardo
Rosemberg,PT,90.769,M,Preto
Zé Raimundo Fontes,PT,87.695,M,Preto
Osni,PT,77.624,M,Pardo
Junior Muniz,PT,67.175,M,Branco
Robinson,PT,59.435,M,Branco
Fatima Nunes,PT,56.642,F,Branco
Euclides Fernandes,PT,55.278,M,Branco
Maria Del Carmen,PT,50.365,F,Branco
Paulo Rangel,PT,49.639,M,Branco
Hilton Coelho,PSOL,45.491,M,Preto
Tiago Correia,PSDB,71.986,M,Pardo
Jordavio Ramos,PSDB,64.569,M,Branco
Pablo Roberto,PSDB,55.585,M,Pardo
Ivana Bastos,PSD,118.417,F,Branco
Alex Da Piatã,PSD,114.778,M,Pardo
Adolfo Menezes,PSD,107.747,M,Branco
Eures Ribeiro,PSD,81.508,M,Pardo
Angelo Coronel Filho,PSD,76.455,M,Pardo
Cafu Barreto,PSD,67.324,M,Pardo
Eduardo Alencar,PSD,67.265,M,Branco
Ricardo Rodrigues,PSD,55.031,M,Pardo
Claudia Oliveira,PSD,49.944,F,Branco
Laerte Do Vando,PSC,44.669,M,Branco
Soane Galvão,PSB,61.399,M,Pardo
Angelo Almeida,PSB,59.841,M,Branco
Niltinho,PP,88.313,M,Branco
Nelson Leal,PP,81.683,M,Branco
Eduardo Salles,PP,68.673,M,Pardo
Hassan De Zé Cocá,PP,60.718,M,Pardo
Felipe Duarte,PP,51.187,M,Branco
Antônio Henrique Jr.,PP,49.882,M,Pardo
Vitor Azevedo,PL,67.847,M,Pardo
Leandro De Jesus,PL,39.206,M,Preto
Raimundinho da Jr,PL,35.188,M,Branco
Dr. Diego Castro,PL,33.827,M,Pardo
Emerson Penalva,PDT,51.933,M,Branco
Olivia Santana,PCdoB,92.559,F,Preto
Bobô,PCdoB,61.469,M,Pardo
Fabrício,PCdoB,57.903,M,Pardo
Zó,PCdoB,50.893,M,Pardo
Binho Galinha,Patriota,49.834,M,Pardo
Rogério Andrade,MDB,89.269,M,Branco
Matheus De Geraldo Júnior,MDB,60.214,M,Branco
Patrick Lopes,Avante,35.607,M,Pardo
,TOTAL DE VOTOS: ,4.193.733,,
