NOME,PARTIDO,TOTAL VOTOS,GÊNERO,RAÇA
Elmar Nascimento,UNIÃO BRASIL,175.439,M,pardo
Deputado Dal,UNIÃO BRASIL,140.435,M,pardo
Paulo Azi,UNIÃO BRASIL,137.383,M,branco
Arthur Maia,UNIÃO BRASIL,108.672,M,branco
Leur Lomanto Jr,UNIÃO BRASIL,82.004,M,pardo
José Rocha,UNIÃO BRASIL,78.833,M,pardo
Marcio Marinho,REPUBLICANOS,118.904,M,preto
Alex Santana,REPUBLICANOS,106.940,M,branco
Rogeria Santos,REPUBLICANOS,82.012,F,branco
Bacelar,PV,110.787,M,branco
Jorge Solla,PT,128.968,M,branco
Zé Neto,PT,128.439,M,branco
Afonso Florence,PT,118.021,M,branco
Waldenor Pereira,PT,113.110,M,pardo
Ivoneide Caetano,PT,105.885,F,pardo
Joseildo Ramos,PT,104.228,M,pardo
Valmir Assunção,PT,90.148,M,preto
Adolfo Viana,PSDB,123.199,M,branco
Otto Filho,PSD,200.909,M,branco
Diego Coronel,PSD,171.684,M,branco
Antonio Brito,PSD,165.386,M,preto
Gabriel Nunes,PSD,138.448,M,branco
Sérgio Brito,PSD,116.960,M,pardo
Paulo Magalhães,PSD,107.093,M,branco
Lídice Da Mata,PSB,112.385,F,pardo
Neto Carletto,PROGRESSISTAS,164.655,M,pardo
Claudio Cajado,PROGRESSISTAS,154.098,M,pardo
Mário Negromonte Jr,PROGRESSISTAS,147.711,M,branco
João Leão,PROGRESSISTAS,102.376,M,branco
Raimundo Costa,PODEMOS,53.486,M,pardo
Roberta Roma,PL,160.731,F,branco
Capitão Alden,PL,95.151,M,pardo
João Carlos Bacelar,PL,90.229,M,branco
Léo Prates,PDT,143.763,M,pardo
Felix Mendonça,PDT,71.774,M,pardo
Daniel,PCdoB,125.374,M,pardo
Alice Portugal,PCdoB,124.358,F,pardo
Ricardo Maia,MDB,136.834,M,branco
Pastor Sargento Isidório,AVANTE,77.164,M,preto
,TOTAL DE VOTOS,4.713.976,,
